,DB12582,1437,-1,编号,数字部分,新编号
164,DB11134,7633,1,373,11134,373
165,DB11134,9958,1,373,11134,373
166,DB11134,64786,1,373,11134,373
167,DB11134,10049,1,373,11134,373
168,DB11134,1690,-1,373,11134,373
169,DB11134,1191,1,373,11134,373
170,DB11134,2354,1,373,11134,373
171,DB11134,7554,1,373,11134,373
172,DB11134,9969,1,373,11134,373
173,DB11134,597,-1,373,11134,373
174,DB11134,7702,1,373,11134,373
175,DB11134,4495,1,373,11134,373
176,DB11134,9833,-1,373,11134,373
177,DB11134,8178,1,373,11134,373
178,DB11134,51585,1,373,11134,373
179,DB11134,8971,-1,373,11134,373
180,DB11134,26994,1,373,11134,373
181,DB11134,113251,1,373,11134,373
182,DB11134,678,-1,373,11134,373
183,DB11134,8233,1,373,11134,373
184,DB11134,5783,-1,373,11134,373
185,DB11134,466,1,373,11134,373
186,DB11134,3337,1,373,11134,373
187,DB11134,6018,1,373,11134,373
188,DB11134,2353,1,373,11134,373
189,DB11134,8013,1,373,11134,373
190,DB11134,3669,1,373,11134,373
191,DB11134,4175,-1,373,11134,373
192,DB11134,11078,-1,373,11134,373
193,DB11134,7739,-1,373,11134,373
194,DB11134,9412,1,373,11134,373
195,DB11134,7270,1,373,11134,373
196,DB11134,4616,1,373,11134,373
197,DB11134,26235,-1,373,11134,373
198,DB11134,57335,1,373,11134,373
199,DB11134,51382,1,373,11134,373
200,DB11134,3652,-1,373,11134,373
201,DB11134,26959,1,373,11134,373
202,DB11134,8941,1,373,11134,373
203,DB11134,1515,1,373,11134,373
204,DB11134,3164,1,373,11134,373
205,DB11134,6721,1,373,11134,373
206,DB11134,9787,-1,373,11134,373
207,DB11134,4299,1,373,11134,373
208,DB11134,3667,-1,373,11134,373
209,DB11134,7533,-1,373,11134,373
210,DB11134,5325,-1,373,11134,373
211,DB11134,10658,1,373,11134,373
212,DB11134,3148,-1,373,11134,373
213,DB11134,3985,-1,373,11134,373
214,DB11134,2048,-1,373,11134,373
215,DB11134,546,-1,373,11134,373
216,DB11134,7402,-1,373,11134,373
217,DB11134,23380,-1,373,11134,373
218,DB11134,1027,-1,373,11134,373
219,DB11134,4001,-1,373,11134,373
220,DB11134,1390,1,373,11134,373
221,DB11134,4772,1,373,11134,373
222,DB11134,113457,-1,373,11134,373
223,DB11134,3833,-1,373,11134,373
224,DB11134,891,-1,373,11134,373
225,DB11134,80012,1,373,11134,373
226,DB11134,10403,-1,373,11134,373
227,DB11134,4502,1,373,11134,373
228,DB11134,221981,-1,373,11134,373
229,DB11134,6016,1,373,11134,373
230,DB11134,991,-1,373,11134,373
231,DB11134,51362,1,373,11134,373
232,DB11134,9493,-1,373,11134,373
233,DB11134,10745,1,373,11134,373
234,DB11134,7776,1,373,11134,373
235,DB11134,7559,1,373,11134,373
236,DB11134,4494,1,373,11134,373
237,DB11134,7673,1,373,11134,373
238,DB11134,10914,1,373,11134,373
239,DB11134,51512,-1,373,11134,373
240,DB11134,9232,-1,373,11134,373
241,DB11134,55145,1,373,11134,373
242,DB11134,3364,1,373,11134,373
243,DB11134,9925,1,373,11134,373
244,DB11134,667,-1,373,11134,373
245,DB11134,55290,1,373,11134,373
246,DB11134,9603,-1,373,11134,373
247,DB11134,84124,1,373,11134,373
248,DB11134,169611,-1,373,11134,373
249,DB11134,83744,1,373,11134,373
250,DB11134,55602,1,373,11134,373
251,DB11134,11098,-1,373,11134,373
252,DB11134,50486,-1,373,11134,373
253,DB11134,4189,1,373,11134,373
254,DB11134,1112,1,373,11134,373
255,DB11134,7042,-1,373,11134,373
256,DB11134,113835,1,373,11134,373
257,DB11134,6286,1,373,11134,373
258,DB11134,526,1,373,11134,373
259,DB11134,84722,-1,373,11134,373
260,DB11134,57761,1,373,11134,373
261,DB11134,8559,1,373,11134,373
262,DB11134,51147,1,373,11134,373
263,DB11134,1185,1,373,11134,373
264,DB11134,23363,-1,373,11134,373
265,DB00648,5573,-1,115,00648,115
266,DB00648,57761,1,115,00648,115
267,DB00648,1589,-1,115,00648,115
268,DB00648,1584,1,115,00648,115
269,DB00648,7040,-1,115,00648,115
270,DB00648,6240,1,115,00648,115
271,DB00648,3283,-1,115,00648,115
272,DB00648,5270,1,115,00648,115
273,DB00648,1586,-1,115,00648,115
274,DB00648,1327,-1,115,00648,115
275,DB00648,1576,1,115,00648,115
276,DB00648,6770,-1,115,00648,115
277,DB03796,4501,-1,273,03796,273
278,DB03796,5054,1,273,03796,273
279,DB03796,57817,1,273,03796,273
280,DB03796,3651,-1,273,03796,273
281,DB03796,2876,-1,273,03796,273
282,DB03796,3576,1,273,03796,273
283,DB03796,3034,1,273,03796,273
284,DB03796,10891,1,273,03796,273
285,DB03796,4496,-1,273,03796,273
286,DB03796,4493,-1,273,03796,273
287,DB03796,6401,1,273,03796,273
288,DB03796,4502,-1,273,03796,273
289,DB03796,1906,1,273,03796,273
290,DB03796,9619,1,273,03796,273
291,DB03796,29893,1,273,03796,273
292,DB03796,4843,1,273,03796,273
293,DB08846,3162,1,338,08846,338
294,DB08846,5320,-1,338,08846,338
295,DB08846,8490,-1,338,08846,338
296,DB08846,5799,1,338,08846,338
297,DB08846,654,-1,338,08846,338
298,DB08846,5355,1,338,08846,338
299,DB08846,7019,-1,338,08846,338
300,DB08846,467,1,338,08846,338
301,DB08846,9013,-1,338,08846,338
302,DB08846,1728,1,338,08846,338
303,DB08846,429,1,338,08846,338
304,DB08846,4826,1,338,08846,338
305,DB08846,4735,1,338,08846,338
306,DB08846,929,-1,338,08846,338
307,DB08846,3487,-1,338,08846,338
308,DB08846,440,1,338,08846,338
309,DB08846,6649,-1,338,08846,338
310,DB08846,836,-1,338,08846,338
311,DB08846,3553,-1,338,08846,338
312,DB08846,9516,1,338,08846,338
313,DB08846,5764,-1,338,08846,338
314,DB08846,317,-1,338,08846,338
315,DB08846,3554,-1,338,08846,338
316,DB08846,7453,1,338,08846,338
317,DB08846,1676,-1,338,08846,338
318,DB08846,23531,1,338,08846,338
319,DB08846,2145,1,338,08846,338
320,DB08846,3485,1,338,08846,338
321,DB08846,6319,-1,338,08846,338
322,DB08846,10379,1,338,08846,338
323,DB08846,2060,1,338,08846,338
324,DB08846,55,1,338,08846,338
325,DB08846,7704,-1,338,08846,338
326,DB08846,1877,1,338,08846,338
327,DB08846,9474,1,338,08846,338
328,DB08846,5592,-1,338,08846,338
329,DB08846,1960,-1,338,08846,338
330,DB08846,5371,-1,338,08846,338
331,DB08846,2260,-1,338,08846,338
332,DB08846,7040,1,338,08846,338
333,DB08846,811,-1,338,08846,338
334,DB08846,1616,-1,338,08846,338
335,DB08846,2968,1,338,08846,338
336,DB08846,354,-1,338,08846,338
337,DB08846,2033,1,338,08846,338
338,DB08846,2961,1,338,08846,338
